Date,Open,High,Low,Close,Volume
2002-05-31,1670.35,1671.35,1607.3,1615.73,1498665472
2002-06-07,1613.5,1621.5,1495.81,1535.48,2200245984
2002-06-14,1536.98,1551.8,1445.44,1504.74,2163433248
2002-06-21,1519.65,1567.99,1435.85,1440.96,2141161248
2002-06-28,1429.56,1486.25,1375.53,1463.21,2670543008
2002-07-05,1457.04,1459.84,1336.06,1448.36,2367367520
2002-07-12,1439.85,1452.56,1323.59,1373.5,2388790720
2002-07-19,1365.79,1426.28,1309.94,1319.15,2763853024
2002-07-26,1309.84,1332.1,1192.42,1262.12,2872829440
2002-08-02,1286.81,1354.48,1235.57,1247.92,2070975008
2002-08-09,1243.38,1322.07,1205.68,1306.12,1831992992
2002-08-16,1293.88,1368.69,1265.19,1361.01,1889786480
2002-08-23,1362.29,1426.76,1359.14,1380.62,2005888256
2002-08-30,1387.2,1396.4,1295.79,1314.85,1693723264
2002-09-06,1302.67,1304.02,1251,1295.3,1424905728
2002-09-13,1286.75,1347.27,1270.59,1291.4,1554742016
2002-09-20,1286.85,1298.5,1216.19,1221.09,1868337760
2002-09-27,1209.13,1239.62,1169.04,1199.15,1974351296
2002-10-04,1187.48,1222.72,1135.27,1139.9,2100162976
2002-10-11,1135.79,1220.12,1108.49,1210.47,2187078016
2002-10-18,1198.5,1288.08,1193.42,1287.86,2068881760
2002-10-25,1276.76,1331.33,1267.76,1331.13,2074703232
2002-11-01,1345.72,1360.83,1279.19,1360.7,2124769248
2002-11-08,1394.57,1420.03,1354.28,1359.28,2400542976
2002-11-15,1355.1,1413.53,1319.07,1411.14,2045525280
2002-11-22,1422.54,1475.35,1367.76,1468.74,2387072256
2002-11-29,1470.64,1497.44,1441.12,1478.78,1611461504
2002-12-06,1507.94,1521.44,1391.1,1422.44,2110761728
2002-12-13,1411.4,1411.69,1362.42,1362.42,1812360768
2002-12-20,1367.74,1408.16,1346.18,1363.11,1950640736
2002-12-27,1359.92,1392.58,1346.65,1348.31,835894272
2003-01-03,1349.43,1389.44,1327.19,1387.08,1172658016
2003-01-10,1390.19,1457.45,1390.09,1447.72,2032112032
2003-01-17,1461.73,1467.35,1376.18,1376.19,2023109728
2003-01-24,1380.43,1393.67,1340.22,1342.14,1505783776
2003-01-31,1329.81,1363.31,1303.64,1320.91,1846040992
2003-02-07,1324.74,1335.76,1278.54,1282.47,1618991232
2003-02-14,1286.51,1315.04,1261.79,1310.17,1597198496
2003-02-21,1319.99,1352.07,1316.04,1349.02,1292875264
2003-02-28,1342.5,1343.09,1291.96,1337.52,1613676768
2003-03-07,1344.21,1353.31,1280.72,1305.29,1629373248
2003-03-14,1295.46,1352.84,1253.22,1340.33,1830065728
2003-03-21,1329.95,1425.73,1326.28,1421.75,2166540512
2003-03-28,1390.04,1400.14,1367.89,1369.6,1735975008
2003-04-04,1351.61,1412.08,1336.61,1383.51,1860978016
2003-04-11,1425.23,1430.11,1351.1,1358.85,1653309280
2003-04-18,1361.35,1425.5,1359.32,1425.5,1405001504
2003-04-25,1425.96,1468.08,1413.71,1434.54,1958631232
2003-05-02,1437.86,1504.22,1436.35,1502.88,2013979232
2003-05-09,1508.31,1531.82,1486.91,1520.15,2283840032
2003-05-16,1518.52,1552.98,1512.72,1538.53,2305379520
2003-05-23,1530.38,1536.04,1478.15,1510.09,2051760736
2003-05-30,1504.87,1599.92,1504.22,1595.91,2135536992
2003-06-06,1612.1,1684.06,1584.7,1627.42,3149697952
2003-06-13,1623,1661.12,1597.32,1626.49,2306644032
2003-06-20,1633.8,1686.1,1629.59,1644.72,2437527264
2003-06-27,1642.33,1653.74,1598.25,1625.26,2003817984
2003-07-04,1634.86,1683.77,1598.92,1663.46,1628621248
